2019-02-15 12:22:26 INFO  Main:154 - {event_name =ONBOARDING_SUCCESS, reason_code =3, level=INFO, logging_source =AKOYA_ACCESS, fi_id =FIDELITY, customer_id =93, fs_id =FS_7, fintech_id =AGGR1}
2019-02-15 12:22:26 INFO  Main:154 - {event_name =ONBOARDING_FAILURE, reason_code =3, level=INFO, logging_source =AKOYA_ACCESS, fi_id =FIDELITY, customer_id =279, fs_id =FS_1, fintech_id =INTUIT}
2019-02-15 12:22:26 INFO  Main:154 - {event_name =CHANGED_DATA_ELEMENT, reason_code =1, level=INFO, logging_source =FA_DASHBOARD, fi_id =FIDELITY, customer_id =431, fs_id =FS_5, fintech_id =AGGR1}
2019-02-15 12:22:26 INFO  Main:154 - {event_name =TOKEN_RENEWAL_SUCCESS, reason_code =4, level=INFO, logging_source =OCID, fi_id =BOA, customer_id =54, fs_id =FS_6, fintech_id =INTUIT}
2019-02-15 12:22:26 INFO  Main:154 - {event_name =REMOVED_ACCT_ACCESS, reason_code =4, level=INFO, logging_source =FA_DASHBOARD, fi_id =BOA, customer_id =453, fs_id =FS_6, fintech_id =AGGR1}
2019-02-15 12:22:26 INFO  Main:154 - {event_name =TOKEN_RENEWAL_SUCCESS, reason_code =2, level=INFO, logging_source =OCID, fi_id =WELLSFARGO, customer_id =42, fs_id =FS_6, fintech_id =AGGR1}
2019-02-15 12:22:26 INFO  Main:154 - {event_name =CHANGED_DATA_ELEMENT, reason_code =3, level=INFO, logging_source =FA_DASHBOARD, fi_id =FIDELITY, customer_id =472, fs_id =FS_7, fintech_id =AGGR1}
2019-02-15 12:22:26 INFO  Main:154 - {event_name =CHANGED_DATA_ELEMENT, reason_code =1, level=INFO, logging_source =FA_DASHBOARD, fi_id =BOA, customer_id =84, fs_id =FS_6, fintech_id =AGGR2}
2019-02-15 12:22:26 INFO  Main:154 - {event_name =TOKEN_RENEWAL_SUCCESS, reason_code =3, level=INFO, logging_source =AKOYA_ACCESS, fi_id =BOA, customer_id =278, fs_id =FS_5, fintech_id =AGGR1}
2019-02-15 12:22:26 INFO  Main:154 - {event_name =REMOVED_ACCT_ACCESS, reason_code =2, level=INFO, logging_source =FA_DASHBOARD, fi_id =FIDELITY, customer_id =358, fs_id =FS_7, fintech_id =AGGR2}
2019-02-15 12:22:26 INFO  Main:154 - {event_name =TOKEN_RENEWAL_FAILURE, reason_code =1, level=INFO, logging_source =AKOYA_ACCESS, fi_id =WELLSFARGO, customer_id =323, fs_id =FS_7, fintech_id =AGGR2}
2019-02-15 12:22:26 INFO  Main:154 - {event_name =TOKEN_RENEWAL_SUCCESS, reason_code =1, level=INFO, logging_source =OCID, fi_id =BOA, customer_id =278, fs_id =FS_5, fintech_id =AGGR2}
2019-02-15 12:34:58 INFO  Main:154 - {event_name =TOKEN_RENEWAL_SUCCESS, reason_code =3, level=INFO, logging_source =AKOYA_ACCESS, fi_id =FIDELITY, customer_id =80, fs_id =FS_6, fintech_id =INTUIT}
2019-02-15 12:34:58 INFO  Main:154 - {event_name =CHANGED_DATA_ELEMENT, reason_code =5, level=INFO, logging_source =FA_DASHBOARD, fi_id =BOA, customer_id =283, fs_id =FS_3, fintech_id =INTUIT}
